bank_code,Merkmal,name,post_code,city,short_name,pan,bic,Datensatz-nummer,Änderungs-kennzeichen,Bankleitzahl-löschung,Nachfolge-Bankleitzahl
58570024,1,Deutsche Bank,54205,Trier,Deutsche Bank,21168,DEUTDEDB585,050188,U,0,00000000
58570024,2,Deutsche Bank,54321,Konz,Deutsche Bank,21168,DEUTDEDB580,050187,U,0,00000000
58570024,2,Deutsche Bank,54501,Wittlich,Deutsche Bank,21168,DEUTDEDB586,050189,U,0,00000000
58570048,1,Deutsche Bank,54205,Trier,Deutsche Bank,27168,DEUTDE5M585,006839,U,0,00000000
58570048,2,Deutsche Bank,54321,Konz,Deutsche Bank,27168,DEUTDE5M590,005737,U,0,00000000
58570048,2,Deutsche Bank,54501,Wittlich,Deutsche Bank,27168,DEUTDE5M586,006962,U,0,00000000
58580074,1,Commerzbank vormals Dresdner Bank,54205,Trier,Commerzbank Trier,28585,DRESDEFF585,052256,U,0,00000000
58580074,2,Commerzbank vormals Dresdner Bank,54502,Wittlich,Commerzbank Wittlich,28585,,032633,U,0,00000000
58590900,1,PSD Bank Trier Ndl der PSD Bank West,54290,Trier,PSD Bank Trier,95109,GENODEF1P21,029689,U,0,00000000
58650030,1,Kreissparkasse Bitburg-Prüm,54623,Bitburg,Kr Spk Bitburg-Prüm,55811,MALADE51BIT,012711,U,0,00000000
58651240,1,Kreissparkasse Vulkaneifel,54550,Daun,Kreissparkasse Vulkaneifel,55813,MALADE51DAU,012671,U,0,00000000
58651240,2,Kreissparkasse Vulkaneifel,54584,Jünkerath,Kreissparkasse Vulkaneifel,55813,,012516,U,0,00000000
58651240,2,Kreissparkasse Vulkaneifel,54576,Hillesheim,Kreissparkasse Vulkaneifel,55813,,012550,U,0,00000000
58651240,2,Kreissparkasse Vulkaneifel,54558,Gillenfeld,Kreissparkasse Vulkaneifel,55813,,012606,U,0,00000000
58651240,2,Kreissparkasse Vulkaneifel,54568,Gerolstein,Kreissparkasse Vulkaneifel,55813,,012607,U,0,00000000
58651240,2,Kreissparkasse Vulkaneifel,54574,Birresborn,Kreissparkasse Vulkaneifel,55813,,012712,U,0,00000000
58651240,2,Kreissparkasse Vulkaneifel,53539,Kelberg,Kreissparkasse Vulkaneifel,55813,,013075,U,0,00000000
58660101,1,Volksbank Eifel,54634,Bitburg,Volksbank Eifel,65011,GENODED1BIT,028156,U,0,00000000
58660101,2,Volksbank Eifel (Gf P2),54626,Bitburg,Volksbank Eifel,75011,,054230,U,0,00000000
58661901,1,Raiffeisenbank Westeifel,54687,Arzfeld,Raiffeisenbank Westeifel,65188,GENODED1WSC,028230,U,0,00000000
58661901,2,Raiffeisenbank Westeifel,54689,Daleiden,Raiffeisenbank Westeifel,65188,,023152,U,0,00000000
58661901,2,Raiffeisenbank Westeifel,54614,Schönecken,Raiffeisenbank Westeifel,65188,,024109,U,0,00000000
58661901,2,Raiffeisenbank Westeifel,54608,Bleialf,Raiffeisenbank Westeifel,65188,,052811,U,0,00000000
58661901,2,Raiffeisenbank Westeifel,54597,Pronsfeld,Raiffeisenbank Westeifel,65188,,052813,U,0,00000000
58661901,2,Raiffeisenbank Westeifel,54649,Waxweiler,Raiffeisenbank Westeifel,65188,,052814,U,0,00000000
58661901,2,Raiffeisenbank Westeifel,54595,Prüm,Raiffeisenbank Westeifel,65188,,052815,U,0,00000000
58661901,2,Raiffeisenbank Westeifel (Gf P2),54687,Arzfeld,Raiffeisenbank Westeifel,75188,,054231,U,0,00000000
