group,bank_code,branch_id,bank_code_new,sic_number,head_office_bank_code,bank_code_type,valid_from,sic,euro_sic,language,short_name,name,domicile_address,postal_address,post_code,city,phone,fax,phone_code,country_code,postal_account,swift
02,235,0028,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Solothurnstrasse 4,Postfach,3422,Kirchberg BE,034 448 62 11,,,,*80-2-2,
02,235,0030,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Alleestrasse 10 A,Postfach,3550,Langnau im Emmental,034 409 16 11,,,,*80-2-2,
02,235,0031,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Klosterweg 2,Postfach,3053,Münchenbuchsee,031 868 15 11,,,,*80-2-2,
02,235,0032,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Emmentalstrasse 11,Postfach,3414,Oberburg,034 427 87 11,,,,*80-2-2,
02,235,0035,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Dorfstrasse 17,Postfach,3054,Schüpfen,031 879 67 11,,,,*80-2-2,
02,235,0036,,002353,230,3,20050428,1,1,1,UBS CH,UBS Switzerland AG,Emmentalstrasse 14,Postfach,3402,Burgdorf,034 426 77 77,,,,*80-2-2,
02,236,0000,,002369,230,2,20150613,1,1,3,UBS CH,UBS Switzerland AG,Piazza Col. C. Bernasconi 5,Casella postale,6830,Chiasso 1,091 801 51 11,,,,*80-2-2,UBSWCHZH68B
02,236,0002,,002369,230,3,20050422,1,1,3,UBS CH,UBS Switzerland AG,Via Lavizzari 15,Casella postale,6850,Mendrisio,091 801 59 59,,,,*80-2-2,
02,236,0003,,002369,230,3,20041029,1,1,3,UBS CH,UBS Switzerland AG,Viale Serfontana 20,Centro Serfontana,6836,Serfontana,091 801 58 11,,,,*80-2-2,
02,236,0004,,002369,230,3,20050422,1,1,3,UBS CH,UBS Switzerland AG,Via Giulia 25,Casella postale,6855,Stabio,091 801 58 80,,,,*80-2-2,
02,238,0000,,002385,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Dorfstrasse 94,Postfach,8706,Meilen,044 925 31 11,,,,*80-2-2,UBSWCHZH87C
02,238,0002,,002385,230,3,20050312,1,1,1,UBS CH,UBS Switzerland AG,Seestrasse 49,Postfach,8712,Stäfa,044 928 23 23,,,,*80-2-2,
02,239,0000,,002390,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Zürcherstrasse 144,Postfach,8501,Frauenfeld,052 723 51 51,,,,*80-2-2,UBSWCHZH85A
02,239,0001,,002390,230,3,20010622,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 13,Postfach,8580,Amriswil,071 414 55 55,,,,*80-2-2,
02,239,0002,,002390,230,3,20010622,1,1,1,UBS CH,UBS Switzerland AG,Obertor 1,Postfach,9220,Bischofszell,071 424 26 55,,,,*80-2-2,
02,240,0000,,002404,230,2,20150613,1,1,2,UBS CH,UBS Switzerland AG,Rue du Rhône 8,Case postale,1211,Genève 2,022 375 75 75,,,,*80-2-2,UBSWCHZH12A
02,240,0002,,002404,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Route de St-Julien 114,Case postale,1228,Plan-les-Ouates,022 706 23 88,,,,*80-2-2,
02,240,0003,,002404,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Rue du Village 28,Case postale,1214,Vernier,022 306 12 11,,,,*80-2-2,
02,240,0004,,002404,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Rampe de la Gare 2,Case postale,1290,Versoix,022 775 16 88,,,,*80-2-2,
02,240,0007,,002404,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Place du Petit-Saconnex 11,Case postale,1211,Genève 2,022 749 20 11,,,,*80-2-2,
02,240,0009,,002404,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Rue de la Servette 75,Case postale,1211,Genève 2,022 748 27 11,,,,*80-2-2,
02,240,0011,,002404,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Avenue de Feuillasse 24,Case postale,1217,Meyrin,022 783 21 11,,,,*80-2-2,
02,240,0012,,002404,230,3,20050422,1,1,2,UBS CH,UBS Switzerland AG,Lancy-Onex / Rue des Bossons 90,Case postale,1211,Genève 2,022 879 16 11,,,,*80-2-2,
02,240,0013,,002404,230,3,20050422,1,1,2,UBS CH,UBS Switzerland AG,Acacias / Rue des Noirettes 35,Case postale,1211,Genève 2,022 375 93 00,,,,*80-2-2,
02,240,0016,,002404,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Aéroport Cointrin,Case postale,1211,Genève 2,022 306 14 88,,,,*80-2-2,
02,240,0017,,002404,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Place de Cornavin 12,Case postale,1211,Genève 1,022 375 33 47,,,,*80-2-2,
02,240,0018,,002404,230,3,20041029,1,1,2,UBS CH,UBS Switzerland AG,Place des Eaux-Vives 2,Case postale,1211,Genève 2,022 787 29 88,,,,*80-2-2,
