name,post_code,city,short_name,pan,bic,bank_code
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,76643,Bruchsal,Spk Kraichgau,56607,BRUSDE66XXX,004073
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,75015,Bretten,Spk Kraichgau,56607,,001014
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,75038,Oberderdingen,Spk Kraichgau,56607,,001018
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,75053,Gondelsheim,Spk Kraichgau,56607,,001021
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,75045,Walzbachtal,Spk Kraichgau,56607,,001026
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,76669,Bad Schönborn,Spk Kraichgau,56607,,001028
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,76707,Hambrücken,Spk Kraichgau,56607,,001030
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,76709,Kronau,Spk Kraichgau,56607,,001031
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,76694,Forst,Spk Kraichgau,56607,,004102
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,76689,Karlsdorf-Neuthard,Spk Kraichgau,56607,,004134
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,76684,Östringen,Spk Kraichgau,56607,,006213
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,76698,Ubstadt-Weiher,Spk Kraichgau,56607,,007268
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,68753,Waghäusel,Spk Kraichgau,56607,,007279
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,76703,Kraichtal,Spk Kraichgau,56607,,019269
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,74924,Neckarbischofsheim,Sparkasse Kraichgau,56607,,051439
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,74921,Helmstadt-Bargen,Sparkasse Kraichgau,56607,,051440
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,74887,Sinsheim,Sparkasse Kraichgau,56607,,051441
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,74906,Bad Rappenau,Sparkasse Kraichgau,56607,,051442
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,74918,Angelbachtal,Sparkasse Kraichgau,56607,,051443
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,74915,Waibstadt,Sparkasse Kraichgau,56607,,051445
Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim,74927,Eschelbronn,Sparkasse Kraichgau,56607,,051447
Volksbank Bruchsal-Bretten -alt-,75015,Bretten,VB Bruchsal-Bretten -alt-,96079,GENODE61BTT,023366
Volksbank Bruchsal-Bretten,75038,Oberderdingen,VB Bruchsal-Bretten,96079,,015110
Volksbank Bruchsal-Bretten,75053,Gondelsheim,VB Bruchsal-Bretten,96079,,015139
Volksbank Bruchsal-Bretten,76703,Kraichtal,VB Bruchsal-Bretten,96079,,015417
Volksbank Bruchsal-Bretten,76707,Hambrücken,VB Bruchsal-Bretten,96079,,052983
Volksbank Bruchsal-Bretten,76669,Bad Schönborn,VB Bruchsal-Bretten,96079,,052984
Volksbank Bruchsal-Bretten,76646,Bruchsal,VB Bruchsal-Bretten,96079,,052985
Volksbank Bruchsal-Bretten,68753,Waghäusel,VB Bruchsal-Bretten,96079,,052986
Volksbank Bruchsal-Bretten,76684,Östringen,VB Bruchsal-Bretten,96079,,052987
Volksbank Bruchsal-Bretten,71665,Vaihingen an der Enz,VB Bruchsal-Bretten,96079,,055375
Volksbank Bruchsal-Bretten,75428,Illingen,VB Bruchsal-Bretten,96079,,055376
Volksbank Bruchsal-Bretten,75447,Sternenfels,VB Bruchsal-Bretten,96079,,055377
Volksbank Bruchsal-Bretten,75429,Maulbronn,VB Bruchsal-Bretten,96079,,055379
Volksbank Bruchsal-Bretten,75054,Sulzfeld,VB Bruchsal-Bretten,96079,,055380
Volksbank Bruchsal-Bretten,75031,Eppingen,VB Bruchsal-Bretten,96079,,055381
Volksbank Bruchsal-Bretten,75059,Zaisenhausen,VB Bruchsal-Bretten,96079,,055382
Volksbank Bruchsal-Bretten,75057,Kürnbach,VB Bruchsal-Bretten,96079,,055383
Volksbank Bruchsal-Bretten (Gf P2),75015,Bretten,VB Bruchsal-Bretten,86079,,054444
Volksbank Bruhrain-Kraich-Hardt -alt-,68790,Oberhausen-Rheinhausen,VB Bruhrain-Kraich-H. -alt-,96143,GENODE61ORH,023835
Volksbank Bruhrain-Kraich-Hardt (Gf P2),68790,Oberhausen-Rheinhausen,VB Bruhrain-Kraich-Hardt,86143,,054445
Bankhaus J. Faißt,77706,Wolfach,Faißtbank Wolfach,26066,FAITDE66XXX,011074
Commerzbank,77603,Offenburg,Commerzbank Offenburg,24683,COBADEFFXXX,010218
Sparkasse Offenburg/Ortenau,77662,Offenburg,Sparkasse Offenburg/Ortenau,56611,SOLADES1OFG,000674
Sparkasse Offenburg/Ortenau,77743,Neuried,Sparkasse Offenburg/Ortenau,56611,,000675
Sparkasse Offenburg/Ortenau,77770,Durbach,Sparkasse Offenburg/Ortenau,56611,,000676
Sparkasse Offenburg/Ortenau,77746,Schutterwald,Sparkasse Offenburg/Ortenau,56611,,000677
Sparkasse Offenburg/Ortenau,77767,Appenweier,Sparkasse Offenburg/Ortenau,56611,,000679
Sparkasse Offenburg/Ortenau,77799,Ortenberg,Sparkasse Offenburg/Ortenau,56611,,000683
Sparkasse Offenburg/Ortenau,77728,Oppenau,Sparkasse Offenburg/Ortenau,56611,,000692
Sparkasse Offenburg/Ortenau,77740,Bad Peterstal-Griesbach,Sparkasse Offenburg/Ortenau,56611,,000694
Sparkasse Offenburg/Ortenau,77855,Achern,Sparkasse Offenburg/Ortenau,56611,,001003
Sparkasse Offenburg/Ortenau,77876,Kappelrodeck,Sparkasse Offenburg/Ortenau,56611,,001004
Sparkasse Offenburg/Ortenau,77871,Renchen,Sparkasse Offenburg/Ortenau,56611,,001005
Sparkasse Offenburg/Ortenau,77883,Ottenhöfen im Schwarzwald,Sparkasse Offenburg/Ortenau,56611,,001010
Sparkasse Offenburg/Ortenau,77880,Sasbach,Sparkasse Offenburg/Ortenau,56611,,001011
Sparkasse Offenburg/Ortenau,77887,Sasbachwalden,Sparkasse Offenburg/Ortenau,56611,,001012
Sparkasse Offenburg/Ortenau,77794,Lautenbach,Sparkasse Offenburg/Ortenau,56611,,001060
Sparkasse Offenburg/Ortenau,77749,Hohberg,Sparkasse Offenburg/Ortenau,56611,,006866
Sparkasse Offenburg/Ortenau,77704,Oberkirch,Sparkasse Offenburg/Ortenau,56611,,047586
Sparkasse Offenburg/Ortenau,77963,Schwanau,Sparkasse Offenburg/Ortenau,56611,,055954
Sparkasse Offenburg/Ortenau,77978,Schuttertal,Sparkasse Offenburg/Ortenau,56611,,055955
Sparkasse Offenburg/Ortenau,77977,Rust,Sparkasse Offenburg/Ortenau,56611,,055956
Sparkasse Offenburg/Ortenau,77955,Ettenheim,Sparkasse Offenburg/Ortenau,56611,,055957
Sparkasse Offenburg/Ortenau,77960,Seelbach,Sparkasse Offenburg/Ortenau,56611,,055958
Sparkasse Offenburg/Ortenau,77948,Friesenheim,Sparkasse Offenburg/Ortenau,56611,,055959
Sparkasse Offenburg/Ortenau,77974,Meißenheim,Sparkasse Offenburg/Ortenau,56611,,055960
Sparkasse Offenburg/Ortenau,77971,Kippenheim,Sparkasse Offenburg/Ortenau,56611,,055961
Sparkasse Offenburg/Ortenau,77975,Ringsheim,Sparkasse Offenburg/Ortenau,56611,,055962
Sparkasse Offenburg/Ortenau,77972,Mahlberg,Sparkasse Offenburg/Ortenau,56611,,055963
Sparkasse Offenburg/Ortenau,77966,Kappel-Grafenhausen,Sparkasse Offenburg/Ortenau,56611,,055964
Sparkasse Offenburg/Ortenau,77933,Lahr,Sparkasse Offenburg/Ortenau,56611,,056404
Sparkasse Gengenbach -alt-,77723,Gengenbach,Spk Gengenbach -alt-,56612,SOLADES1GEB,000687
Sparkasse Kinzigtal,77716,Haslach im Kinzigtal,Spk Kinzigtal,56613,SOLADES1HAL,001040
Sparkasse Hanauerland,77694,Kehl,Spk Hanauerland Kehl,56615,SOLADES1KEL,001049
Sparkasse Hanauerland,77731,Willstätt,Spk Hanauerland,56615,,001056
Sparkasse Hanauerland,77866,Rheinau,Spk Hanauerland,56615,,001067
Sparkasse Hanauerland,77839,Lichtenau,Spk Hanauerland,56615,,001076
Sparkasse Wolfach,77705,Wolfach,Spk Wolfach,56617,SOLADES1WOF,000696
Sparkasse Wolfach,77776,Bad Rippoldsau-Schapbach,Spk Wolfach,56617,,000697
Sparkasse Wolfach,77709,Oberwolfach,Spk Wolfach,56617,,000698
Sparkasse Wolfach,77773,Schenkenzell,Spk Wolfach,56617,,000700
Sparkasse Wolfach,77761,Schiltach,Spk Wolfach,56617,,000701
Deutsche Bank,77603,Offenburg,Deutsche Bank,21136,DEUTDEDB968,050261
Deutsche Bank,77716,Haslach im Kinzigtal,Deutsche Bank,21136,DEUTDEDB970,050258
Deutsche Bank,77694,Kehl,Deutsche Bank,21136,DEUTDEDB969,050259
Deutsche Bank,77704,Oberkirch,Deutsche Bank,21136,DEUTDEDB971,050260
Deutsche Bank,77603,Offenburg,Deutsche Bank,27136,DEUTDE6F664,006830
Deutsche Bank,77694,Kehl,Deutsche Bank,27136,DEUTDE6F665,005703
Deutsche Bank,77716,Haslach im Kinzigtal,Deutsche Bank,27136,DEUTDE6F666,005726
Deutsche Bank,77704,Oberkirch,Deutsche Bank,27136,DEUTDE6F667,006835
Volksbank,77615,Offenburg,Volksbank,96004,GENODE61OG1,023804
Volksbank,77731,Willstätt,Volksbank,96004,,015369
Volksbank,77799,Ortenberg,Volksbank,96004,,015490
Volksbank,77770,Durbach,Volksbank,96004,,023210
Volksbank,77743,Neuried,Volksbank,96004,,023400
Volksbank,77704,Oberkirch,Volksbank,96004,,023950
Volksbank,77746,Schutterwald,Volksbank,96004,,024116
Volksbank,77740,Bad Peterstal-Griesbach,Volksbank,96004,,055063
Volksbank,77728,Oppenau,Volksbank,96004,,055064
Volksbank,77767,Appenweier,Volksbank,96004,,055065
Volksbank (Gf P2),77615,Offenburg,Volksbank,86004,,054446
Volksbank Bühl Fil Kehl,77694,Kehl,Volksbank Bühl,96154,GENODE61BHL,042664
Volksbank Bühl Zw Willstätt,77731,Willstätt,Volksbank Bühl Fil Kehl,96154,,020250
Volksbank Appenweier-Urloffen Appenweier -alt-,77762,Appenweier,VB Appenweier -alt-,96180,GENODE61APP,024253
Volksbank Mittlerer Schwarzwald,77706,Wolfach,VB Mittlerer Schwarzwald,96186,GENODE61KZT,044544
Volksbank Mittlerer Schwarzwald,77793,Gutach (Schwarzwaldbahn),VB Mittlerer Schwarzwald,96186,,015152
Volksbank Mittlerer Schwarzwald,77751,Hausach,VB Mittlerer Schwarzwald,96186,,015164
Volksbank Mittlerer Schwarzwald,77709,Oberwolfach,VB Mittlerer Schwarzwald,96186,,015475
Volksbank Mittlerer Schwarzwald,78733,Aichhalden,VB Mittlerer Schwarzwald,96186,,019759
Volksbank Mittlerer Schwarzwald,72275,Alpirsbach,VB Mittlerer Schwarzwald,96186,,021519
Volksbank Mittlerer Schwarzwald,77716,Haslach im Kinzigtal,VB Mittlerer Schwarzwald,96186,,022887
Volksbank Mittlerer Schwarzwald,77773,Schenkenzell,VB Mittlerer Schwarzwald,96186,,024089
Volksbank Mittlerer Schwarzwald,77761,Schiltach,VB Mittlerer Schwarzwald,96186,,024093
Volksbank Mittlerer Schwarzwald,77790,Steinach,VB Mittlerer Schwarzwald,96186,,024167
Volksbank Mittlerer Schwarzwald,78098,Triberg im Schwarzwald,VB Mittlerer Schwarzwald,96186,,056888
Volksbank Mittlerer Schwarzwald,78141,Schönwald im Schwarzwald,VB Mittlerer Schwarzwald,96186,,056889
Volksbank Mittlerer Schwarzwald,78136,Schonach im Schwarzwald,VB Mittlerer Schwarzwald,96186,,056890
Volksbank Mittlerer Schwarzwald,78132,Hornberg,VB Mittlerer Schwarzwald,96186,,056891
Volksbank Mittlerer Schwarzwald,78120,Furtwangen im Schwarzwald,VB Mittlerer Schwarzwald,96186,,056892
Volksbank Mittlerer Schwarzwald (Gf P2),77706,Wolfach,VB Mittlerer Schwarzwald,86186,,054447
Sparkasse Rastatt-Gernsbach,76402,Rastatt,Sparkasse Rastatt-Gernsbach,56619,SOLADES1RAS,001083
Sparkasse Rastatt-Gernsbach,76587,Gernsbach,Sparkasse Rastatt-Gernsbach,56619,,000704
Sparkasse Rastatt-Gernsbach,76596,Forbach,Sparkasse Rastatt-Gernsbach,56619,,000705
Sparkasse Rastatt-Gernsbach,76448,Durmersheim,Sparkasse Rastatt-Gernsbach,56619,,001085
Sparkasse Rastatt-Gernsbach,76461,Muggensturm,Sparkasse Rastatt-Gernsbach,56619,,001086
Sparkasse Rastatt-Gernsbach,76549,Hügelsheim,Sparkasse Rastatt-Gernsbach,56619,,001088
Sparkasse Rastatt-Gernsbach,76473,Iffezheim,Sparkasse Rastatt-Gernsbach,56619,,001089
Raiffeisenbank Südhardt Durmersheim,76448,Durmersheim,Rb Südhardt Durmersheim,66144,GENODE61DUR,015079
Raiffeisenbank Südhardt Durmersheim,76467,Bietigheim,Rb Südhardt Durmersheim,66144,,014974
Raiffeisenbank Südhardt Durmersheim,76474,Au am Rhein,RB Südhardt Durmersh,66144,,015031
Raiffeisenbank Südhardt Durmersheim,76477,Elchesheim-Illingen,Rb Südhardt Durmersheim,66144,,015094
Raiffeisenbank Südhardt Durmersheim (Gf P2),76448,Durmersheim,Rb Südhardt Durmersheim,76144,,054448
VR-Bank in Mittelbaden,76473,Iffezheim,VR-Bank Mittelb Iffezheim,66164,GENODE61IFF,015323
VR-Bank in Mittelbaden,76549,Hügelsheim,VR-Bank Mittelb Iffezheim,66164,,015316
VR-Bank in Mittelbaden,76437,Rastatt,VR-Bank Mittelb Iffezheim,66164,,015504
VR-Bank in Mittelbaden,77836,Rheinmünster,VR-Bank Mittelb Iffezheim,66164,,015561
VR-Bank in Mittelbaden,76547,Sinzheim,VR-Bank Mittelb Iffezheim,66164,,051727
VR-Bank in Mittelbaden,76532,Baden-Baden,VR-Bank Mittelb Iffezheim,66164,,051728
VR-Bank in Mittelbaden,76479,Steinmauern,VR-Bank Mittelb Iffezheim,66164,,051729
VR-Bank in Mittelbaden,76470,Ötigheim,VR-Bank Mittelb Iffezheim,66164,,051730
VR-Bank in Mittelbaden,76461,Muggensturm,VR-Bank Mittelb Iffezheim,66164,,051731
VR-Bank in Mittelbaden,76476,Bischweier,VR-Bank Mittelb Iffezheim,66164,,051732
VR-Bank in Mittelbaden (Gf P2),76473,Iffezheim,VR-Bank Mittelb Iffezheim,76164,,054449
Commerzbank,75172,Pforzheim,Commerzbank Pforzheim,24607,COBADEFFXXX,010248
Commerzbank,75405,Mühlacker,Commerzbank Mühlacker,24607,,056103
Sparkasse Pforzheim Calw,75172,Pforzheim,Sparkasse Pforzheim Calw,56624,PZHSDE66XXX,000721
Raiffeisenbank Bauschlott -alt-,75245,Neulingen,Raiffbk Bauschlott -alt-,66677,GENODE61NBT,014967
Raiffeisenbank Bauschlott (Gf P2),75245,Neulingen,Raiffeisenbank Bauschlott,76677,,054450
Raiffeisenbank Kieselbronn,75249,Kieselbronn,Raiffeisenbank Kieselbronn,66074,GENODE61KBR,015345
Raiffeisenbank Kieselbronn (Gf P2),75249,Kieselbronn,Raiffeisenbank Kieselbronn,76074,,054451
VR Bank im Enzkreis -alt-,75219,Niefern-Öschelbronn,VR Bank im Enzkreis -alt-,66091,GENODE61NFO,015446
VR Bank im Enzkreis (Gf P2),75219,Niefern-Öschelbronn,VR Bank im Enzkreis,76091,,054452
Raiffeisenbank Ersingen,75234,Kämpfelbach,Raiffeisenbank Ersingen,66148,GENODE61ERS,015101
Raiffeisenbank Ersingen (Gf P2),75234,Kämpfelbach,Raiffeisenbank Ersingen,76148,,054453
Volksbank Stein Eisingen -alt-,75203,Königsbach-Stein,VB Stein Eisingen -alt-,66153,GENODE61KBS,015606
Volksbank Stein Eisingen (Gf P2),75203,Königsbach-Stein,Volksbank Stein Eisingen,76153,,054454
Deutsche Bank,75104,Pforzheim,Deutsche Bank,27199,DEUTDESM666,006875
Deutsche Bank,75401,Mühlacker,Deutsche Bank,27199,DEUTDESM677,006903
Deutsche Bank,75104,Pforzheim,Deutsche Bank,21199,DEUTDEDB666,050263
Deutsche Bank,75401,Mühlacker,Deutsche Bank,21199,DEUTDEDB677,050262
Commerzbank vormals Dresdner Bank,75105,Pforzheim,Commerzbank Pforzheim,28666,DRESDEFF666,006764
Commerzbank vormals Dresdner Bank,75405,Mühlacker,Commerzbank Mühlacker,28666,,042768
Volksbank Pforzheim -alt-,75172,Pforzheim,Volksbank Pforzheim -alt-,96006,VBPFDE66XXX,023832
Volksbank Pforzheim (Gf P2),75119,Pforzheim,Volksbank Pforzheim,86006,,054455
Volksbank Pforzheim Gs Birkenfeld,75217,Birkenfeld,Volksbank Pforzheim,96006,,023325
Volksbank Pforzheim Gs Dietlingen,75210,Keltern,Volksbank Pforzheim,96006,,039017
Volksbank Pforzheim Gs Dobel,75335,Dobel,Volksbank Pforzheim,96006,,023190
Volksbank Pforzheim Gs Grunbach,75331,Engelsbrand,Volksbank Pforzheim,96006,,032769
Volksbank Pforzheim Gs Illingen,75428,Illingen,Volksbank Pforzheim,96006,,032597
Volksbank Pforzheim Gs Ispringen,75228,Ispringen,Volksbank Pforzheim,96006,,023770
Volksbank Pforzheim Gs Niefern-Öschelbronn,75223,Niefern-Öschelbronn,Volksbank Pforzheim,96006,,023919
Volksbank Pforzheim Gs Ölbronn u Dürrn,75248,Ölbronn-Dürrn,Volksbank Pforzheim,96006,,020902
Volksbank Pforzheim Gs Ötisheim,75443,Ötisheim,Volksbank Pforzheim,96006,,023797
Volksbank Pforzheim Gs Schömberg,75328,Schömberg,Volksbank Pforzheim,96006,,039037
Volksbank Pforzheim Gs Straubenhardt,75334,Straubenhardt,Volksbank Pforzheim,96006,,032572
Volksbank Pforzheim Gs Tiefenbronn,75233,Tiefenbronn,Volksbank Pforzheim,96006,,024212
Volksbank Pforzheim Gs Wiernsheim,75446,Wiernsheim,Volksbank Pforzheim,96006,,024350
Volksbank Pforzheim Gs Wurmberg,75449,Wurmberg,Volksbank Pforzheim,96006,,032630
Volksbank Pforzheim Zw Knittlingen,75438,Knittlingen,Volksbank Pforzheim,96006,,020860
Volksbank Pforzheim Zw Mühlacker,75417,Mühlacker,Volksbank Pforzheim,96006,,023552
Volksbank Pforzheim Zw Neuenbürg,75305,Neuenbürg,Volksbank Pforzheim,96006,,024005
Volksbank Pforzheim Zw Wildbad,75323,Bad Wildbad,Volksbank Pforzheim,96006,,024362
VR Bank Enz plus -alt-,75196,Remchingen,VR Bank Enz plus -alt-,96173,GENODE61WIR,024363
VR Bank Enz plus,75210,Keltern,VR Bank Enz plus,96173,,015095
VR Bank Enz plus,75334,Straubenhardt,VR Bank Enz plus,96173,,015192
VR Bank Enz plus,76307,Karlsbad,VR Bank Enz plus,96173,,015422
VR Bank Enz plus,75203,Königsbach-Stein,VR Bank Enz plus,96173,,023695
VR Bank Enz plus,76327,Pfinztal,VR Bank Enz plus,96173,,024150
VR Bank Enz plus,75239,Eisingen,VR Bank Enz plus,96173,,057022
VR Bank Enz plus,75236,Kämpfelbach,VR Bank Enz plus,96173,,057023
VR Bank Enz plus,75417,Mühlacker,VR Bank Enz plus,96173,,057024
VR Bank Enz plus,75242,Neuhausen,VR Bank Enz plus,96173,,057025
VR Bank Enz plus,75245,Neulingen,VR Bank Enz plus,96173,,057026
VR Bank Enz plus,75223,Niefern-Öschelbronn,VR Bank Enz plus,96173,,057027
VR Bank Enz plus,75181,Pforzheim,VR Bank Enz plus,96173,,057028
VR Bank Enz plus,75233,Tiefenbronn,VR Bank Enz plus,96173,,057029
VR Bank Enz plus,75446,Wiernsheim,VR Bank Enz plus,96173,,057030
VR Bank Enz plus (Gf P2),75196,Remchingen,VR Bank Enz plus,86173,,054456
Raiffeisenbank Kraichgau -alt-,74912,Kirchardt,Raiffbk Kraichgau -alt-,66166,GENODE61KIR,015348
Raiffeisenbank Kraichgau (Gf P2),74912,Kirchardt,Raiffbk Kraichgau,76166,,054457
Raiffeisenbank Neudenau-Stein-Herbolzheim -alt-,74861,Neudenau,Raiffbk Neudenau -alt-,66680,GENODE61NEU,015430
Raiffeisenbank Neudenau-Stein-Herbolzheim (Gf P2),74861,Neudenau,Raiffeisenbank Neudenau,76680,,054458
UniCredit Bank - HypoVereinsbank,68159,Mannheim,UniCredit Bank-HypoVereinbk,22055,HYVEDEMM489,032245
Commerzbank,68006,Mannheim,Commerzbank Mannheim,24670,COBADEFFXXX,010237
Commerzbank,69442,Weinheim,Commerzbank Weinheim Bergst,24670,,010241
Commerzbank,74872,Sinsheim,Commerzbank Sinsheim Elsenz,24670,,018459
Commerzbank,68702,Schwetzingen,Commerzbank Schwetzingen,24670,,025661
Commerzbank,68756,Hockenheim,Commerzbank Hockenheim,24670,,034765
Commerzbank,68502,Viernheim,Commerzbank Viernheim,24670,,035665
Commerzbank,69152,Wiesloch,Commerzbank Wiesloch,24670,,044443
Commerzbank,74801,Mosbach,Commerzbank Mosbach,24670,,044743
Commerzbank,76804,Landau in der Pfalz,Commerzbank Landau Pfalz,24670,,056104
Commerzbank,68623,Lampertheim,Commerzbank Lampertheim,24670,,056105
Commerzbank,68526,Ladenburg,Commerzbank Ladenburg,24670,,056106
Commerzbank,69190,Walldorf,Commerzbank Walldorf,24670,,056107
Commerzbank,67269,Grünstadt,Commerzbank Grünstadt,24670,,056117
Commerzbank CC,68161,Mannheim,Commerzbank CC Mannheim,,COBADEFFXXX,055819
Commerzbank CC,68161,Mannheim,Commerzbank CC Mannheim,,COBADEFFXXX,055820
"Commerzbank, Gf Web-K",68006,Mannheim,"Commerzbank Gf WK, Mannheim",,COBADEFFXXX,056373
Sparkasse Rhein Neckar Nord,68151,Mannheim,Spk Rhein Neckar Nord,56799,MANSDE66XXX,050681
Sparkasse Rhein Neckar Nord,69441,Weinheim,Spk Rhein Neckar Nord,56799,,056223
Sparkasse Rhein Neckar Nord,68542,Heddesheim,Spk Rhein Neckar Nord,56799,,056224
Sparkasse Rhein Neckar Nord,69502,Hemsbach,Spk Rhein Neckar Nord,56799,,056225
Sparkasse Rhein Neckar Nord,69514,Laudenbach,Spk Rhein Neckar Nord,56799,,056226
Sparkasse Rhein Neckar Nord,68549,Ilvesheim,Spk Rhein Neckar Nord,56799,,056227
Sparkasse Rhein Neckar Nord,69493,Hirschberg an der Bergstraße,Spk Rhein Neckar Nord,56799,,056228
Sparkasse Rhein Neckar Nord,68535,Edingen-Neckarhausen,Spk Rhein Neckar Nord,56799,,056229
Sparkasse Rhein Neckar Nord,68526,Ladenburg,Spk Rhein Neckar Nord,56799,,056230
Sparkasse Rhein Neckar Nord,69198,Schriesheim,Spk Rhein Neckar Nord,56799,,056231
Sparkasse Hockenheim,68766,Hockenheim,Spk Hockenheim,56702,SOLADES1HOC,001096
Sparkasse Hockenheim,68804,Altlußheim,Spk Hockenheim,56702,,001097
Sparkasse Hockenheim,68809,Neulußheim,Spk Hockenheim,56702,,001098
Sparkasse Hockenheim,68799,Reilingen,Spk Hockenheim,56702,,001099
Volksbank Sandhofen,68273,Mannheim,Volksbank Ma-Sandhofen,66004,GENODE61MA3,018360
Volksbank Sandhofen (Gf P2),68273,Mannheim,Volksbank Ma-Sandhofen,76004,,054459
Deutsche Bank,68161,Mannheim,Deutsche Bank,27180,DEUTDESMXXX,005718
Deutsche Bank,68766,Hockenheim,Deutsche Bank,27180,DEUTDESM676,005762
Deutsche Bank,68519,Viernheim,Deutsche Bank,27180,DEUTDESM675,006847
Deutsche Bank,68702,Schwetzingen,Deutsche Bank,27180,DEUTDESM673,006879
Deutsche Bank,69442,Weinheim,Deutsche Bank,27180,DEUTDESM670,006934
Deutsche Bank,68161,Mannheim,Deutsche Bank,21180,DEUTDEDBMAN,050265
Deutsche Bank,68766,Hockenheim,Deutsche Bank,21180,DEUTDEDB676,050264
Deutsche Bank,68702,Schwetzingen,Deutsche Bank,21180,DEUTDEDB673,050266
Deutsche Bank,68519,Viernheim,Deutsche Bank,21180,DEUTDEDB675,050267
Deutsche Bank,69442,Weinheim,Deutsche Bank,21180,DEUTDEDB670,050268
Commerzbank vormals Dresdner Bank,68008,Mannheim,Commerzbank Mannheim,28670,DRESDEFF670,005561
Commerzbank vormals Dresdner Bank,76804,Landau in der Pfalz,Commerzbank Landau Pfalz,28670,,005615
Commerzbank vormals Dresdner Bank,68623,Lampertheim,Commerzbank Lampertheim,28670,,005616
Commerzbank vormals Dresdner Bank,67346,Speyer,Commerzbank Speyer,28670,,006754
Commerzbank vormals Dresdner Bank,67547,Worms,Commerzbank Worms,28670,,006809
Commerzbank vormals Dresdner Bank,68519,Viernheim,Commerzbank Viernheim,28670,,014939
Commerzbank vormals Dresdner Bank,67203,Frankenthal (Pfalz),Commerzbank Frankenthal,28670,,018409
Commerzbank vormals Dresdner Bank,68526,Ladenburg,Commerzbank Ladenburg,28670,,031485
Commerzbank vormals Dresdner Bank,69190,Walldorf,Commerzbank Walldorf,28670,,037672
Commerzbank vormals Dresdner Bank,69469,Weinheim,Commerzbank Weinheim,28670,,039460
Commerzbank vormals Dresdner Bank,67269,Grünstadt,Commerzbank Grünstadt,28670,,040532
Commerzbank vormals Dresdner Bank,74821,Mosbach,Commerzbank Mosbach Baden,28670,,042803
"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 2",68134,Mannheim,Commerzbank ITGK2 Mannh,,DRESDEFFI60,055095
"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 3",68134,Mannheim,Commerzbank ITGK3 Mannh,,DRESDEFFI61,055096
Commerzbank vormals Dresdner Bank ITGK,70049,Stuttgart,Commerzbank ITGK Mannheim,,DRESDEFFI22,051488
VR Bank Rhein-Neckar,68165,Mannheim,VR Bank Rhein-Neckar,96007,GENODE61MA2,023477
VR Bank Rhein-Neckar,68542,Heddesheim,VR Bank Rhein-Neckar,96007,,022900
VR Bank Rhein-Neckar,68527,Edingen-Neckarhausen,VR Bank Rhein-Neckar,96007,,050784
VR Bank Rhein-Neckar,68549,Ilvesheim,VR Bank Rhein-Neckar,96007,,050785
VR Bank Rhein-Neckar,67059,Ludwigshafen am Rhein,VR Bank Rhein-Neckar,96007,,053591
VR Bank Rhein-Neckar,67122,Altrip,VR Bank Rhein-Neckar,96007,,053592
VR Bank Rhein-Neckar,67125,Dannstadt-Schauernheim,VR Bank Rhein-Neckar,96007,,053593
VR Bank Rhein-Neckar,67136,Fußgönheim,VR Bank Rhein-Neckar,96007,,053594
VR Bank Rhein-Neckar,67126,Hochdorf-Assenheim,VR Bank Rhein-Neckar,96007,,053595
VR Bank Rhein-Neckar,67117,Limburgerhof,VR Bank Rhein-Neckar,96007,,053596
VR Bank Rhein-Neckar,67112,Mutterstadt,VR Bank Rhein-Neckar,96007,,053597
VR Bank Rhein-Neckar,67141,Neuhofen,VR Bank Rhein-Neckar,96007,,053598
VR Bank Rhein-Neckar (Gf P2),68165,Mannheim,VR Bank Rhein-Neckar,86007,,054460
Volksbank Kurpfalz,69018,Heidelberg,Volksbank Kurpfalz,96174,GENODE61WNM,024326
Volksbank Kurpfalz,69493,Hirschberg an der Bergstraße,Volksbank Kurpfalz,96174,,022827
Volksbank Kurpfalz,69502,Hemsbach,Volksbank Kurpfalz,96174,,022908
Volksbank Kurpfalz,69488,Birkenau,Volksbank Kurpfalz,96174,,023322
Volksbank Kurpfalz,69509,Mörlenbach,Volksbank Kurpfalz,96174,,023532
